date,ret
2015-01,0.0007902927329884162
2015-02,0.10738456362134963
2015-03,0.08772368617706996
2015-04,0.04742143092610426
2015-05,0.02882960067809634
2015-06,0.042368286541032835
2015-07,-0.06932697939095234
2015-08,-0.032885492345099854
2015-09,-0.01758790188634306
2015-10,0.08143345693069656
2015-11,0.098514670286994
2015-12,-0.01954253742111455
2016-01,-0.058779472554521185
2016-02,0.0850616427627691
2016-03,0.24338520320373325
2016-04,0.12191732466189972
2016-05,0.201052836023565
2016-06,0.06861212692777888
2016-07,0.09771924291224957
2016-08,0.023196734146939506
2016-09,-0.0008558475950343689
2016-10,-0.07032600812134057
2016-11,0.054161984896511035
2016-12,0.053920704325808824
2017-01,0.10047017002877173
2017-02,0.05244857053638003
2017-03,0.04580902111914849
2017-04,0.05840707644369234
2017-05,0.059165948788750145
2017-06,0.04704404840504255
2017-07,0.02349801131036099
2017-08,-0.016191870901335628
2017-09,0.021243183830387976
2017-10,-0.0004639564488290058
2017-11,0.12489065377337356
2017-12,0.10008447002857628
2018-01,0.11338933132444448
2018-02,-0.08028794961959135
2018-03,0.018047346759065705
2018-04,-0.00554433387372178
2018-05,0.007557964855641744
2018-06,0.03219951416898076
2018-07,0.004127964371220704
2018-08,-0.005666206275308402
2018-09,-0.008022417955816069
2018-10,-0.0692978838451553
2018-11,-0.008572432736801775
2018-12,-0.13550190486484498
2019-01,0.15691649075093816
2019-02,0.08450452989737965
2019-03,-0.013227280807110924
2019-04,0.020940545811123285
2019-05,0.006959624359980765
2019-06,0.058166649830759164
2019-07,-0.007780866911506796
2019-08,-0.034952829366378654
2019-09,0.030285033662677
2019-10,0.013833799916018793
2019-11,-0.01151717063296981
2019-12,0.060351482775512805
2020-01,0.13069091788873607
2020-02,-0.028734444572002547
2020-03,-0.23275774636265512
2020-04,0.25045453206146984
2020-05,0.15333653694622607
2020-06,0.13087590898545953
2020-07,0.16817631832388613
2020-08,0.08043670070652192
2020-09,-0.006557824231120024
2020-10,0.010324620322822657
2020-11,0.31967471644056306
2020-12,0.15353144737327556
2021-01,0.17378478844587614
2021-02,0.1575260525608789
2021-03,0.08152982201674255
2021-04,0.03078111122346424
2021-05,0.053174926505722184
2021-06,0.08176126617750194
2021-07,-0.05239401768110048
2021-08,0.008648613388307608
2021-09,-0.020885611378735635
2021-10,0.0514309291070178
2021-11,-0.05221279223563198
2021-12,-0.003252194600097791
2022-01,-0.0616900596293294
2022-02,0.014121856315951095
2022-03,0.036545145468904555
2022-04,-0.029722775276065518
2022-05,-0.04483231327343512
2022-06,-0.07229525054237204
2022-07,0.03625245302558372
2022-08,0.02072072145325067
2022-09,-0.11813634363057128
2022-10,0.022820485521438616
2022-11,0.009848233724909753
2022-12,-0.010502113447601219
2023-01,0.26878038669100535
2023-02,-0.0441470781581427
2023-03,-0.033691109375259515
2023-04,-0.017588721207429908
2023-05,-0.022647681530301195
2023-06,0.056685335692869064
2023-07,0.04271362404108295
2023-08,-0.06219093504249147
2023-09,-0.04267230561629193
2023-10,-0.0923582575311472
2023-11,0.06613445790972056
2023-12,0.1371227399356143
2024-01,-0.01923886584297839
2024-02,0.05418355586602919
2024-03,0.06389428573678642
2024-04,-0.014899295113321297
2024-05,0.08828406183339746
2024-06,-0.04161006258232636
2024-07,0.07634941608502879
2024-08,0.01445271357510753
